conversation_idx,fact_count,nonfact_count,fact_score,nonfact_score,combined_score,fact_arithmetic_mean_score,nonfact_arithmetic_mean_score
0,228,105,0.8929,0.8737,0.8868,0.875,0.86
1,173,66,0.8786,1.0,0.9121,0.8562,1.0
2,336,152,0.8071,0.8947,0.8344,0.7875,0.89
3,321,119,0.8714,0.8895,0.8763,0.85,0.88
4,364,161,0.8714,0.8947,0.8785,0.85,0.89
5,282,151,0.8571,1.0,0.9069,0.8375,1.0
6,390,154,0.8571,0.8947,0.8677,0.8375,0.89
7,326,160,0.85,0.8895,0.863,0.825,0.88
8,233,104,0.8286,0.8579,0.8376,0.8062,0.85
9,309,145,0.7929,1.0,0.859,0.7625,1.0
